,m,b,r,sd,perChange,bottomLinePerDistance,bottomLineXUp,bottomLineXDown,safetyLineXUp,safetyLineXDown,topLineXUp,topLineXDown,midLineXUp,midLineXDown,smaDist,lastHigh,lastLow,averageDown,averageUp,Ticker,TP%,SL%,days
0,1.0,0.0,0.9997255659148474,0.0,0.7913922676035926,0.9545050228940272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1387875967680517,0.7225610847235746,1.0,1.0,V,-0.025440581840243892,0.046250454885050085,21
1,1.0,0.0,0.9997255659148474,0.0,0.7913922676035926,0.9545050228940272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1387875967680517,0.7225610847235746,1.0,1.0,V,-0.025440581840243892,0.046250454885050085,21
2,0.9477379209544002,0.04305207302211112,0.965498514700763,0.044980758295283155,0.05944311021507975,0.552082994691096,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0659030117364661,0.5124525854167503,0.04514057539022979,1.0,1.0,V,-0.01294924477483328,0.03402584669593711,21
3,0.9176080463372692,0.06825408937632645,0.9668535234912393,0.049671830787236144,0.7878985194801165,0.8307048328645412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15645598797998775,0.23486329088934654,0.5483846228571122,1.0,1.0,V,-0.022259137486056235,0.04313694425750447,21
4,0.8910231913056648,0.09082780908558231,0.971935282926759,0.05062260028557858,0.5192510940319078,0.8676105952511907,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25667181721815113,0.1779404092107656,0.6515806103615206,1.0,1.0,V,-0.024146580915176852,0.044984084902200294,21
5,0.8603010233613876,0.11730395712444543,0.9700719866018973,0.05850797676066042,0.40720089714217633,0.7998485227184255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3311387952937031,0.22419448087200605,0.5677262013712346,1.0,1.0,V,-0.02261344863504544,0.04348368976206862,21
6,0.8444624696148838,0.13115423997076192,0.9862154001914669,0.049353154477578424,0.6976200650981009,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4298104314222264,0.0035534498075193034,0.9677282464760283,1.0,1.0,V,-0.029883795113538003,0.062236434443881494,21
7,0.8273122258150922,0.1463689040204461,1.0,0.04198729271059837,0.4606085428772938,0.9719611986362464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5621317350324668,0.0,0.9741703265521023,1.0,1.0,V,-0.030000000000000138,0.06234876398555367,21
8,0.7975902951506755,0.17311309066914835,0.9961514546483075,0.052166973518976784,0.2822296289559287,0.7774401136410192,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6814417576684367,0.17081658840616187,0.6644954470854694,1.0,1.0,V,-0.02660575344742233,0.05949319780871143,21
9,0.7730329022855835,0.1955213841399052,0.9990054988552322,0.05509972222995689,0.5486857676094187,0.8451148045305159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7870939892964989,0.08540124370742494,0.8193456687237098,1.0,1.0,V,-0.02941653554027379,0.0622090138176582,21
10,0.7239579358673534,0.240923584439636,0.9539543320128465,0.1140895489202802,0.05426958664146931,0.4566360861474377,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8574323810968315,0.46974914336477025,0.12255801706640505,1.0,0.3705764796202839,V,-0.016639211639821183,0.04986338912885657,21
11,0.6807591399709437,0.28143686303410975,0.9200793154139731,0.15727292958475703,0.5448577957647419,0.5373388184015568,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9001883544805778,0.39501106927816215,0.25805132190461216,1.0,0.3705764796202839,V,-0.018324662955585103,0.05228944124214452,21
12,0.6305447499380339,0.32916598928668755,0.8662343993763923,0.22213679999273253,0.3016375932312279,0.40983976650264553,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9490345373332622,0.5302452162386887,0.012884160152168997,1.0,0.3705764796202839,V,-0.013768097817096425,0.047890527741460076,21
13,0.5937537776273307,0.36460233148603133,0.8427097486465633,0.25055091940195606,0.7044567441193841,0.6229712831647789,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9880152579731546,0.32384054599037376,0.3870769828569183,1.0,0.3705764796202839,V,-0.020705806127049864,0.054588199742389154,21
14,0.5515821597550404,0.40575566472337316,0.8042945611344251,0.2941113534188383,0.3369968590304485,0.5177530735680389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4306019713185742,0.1935282659045325,1.0,0.3705764796202839,V,-0.017129554161817273,0.07451478337540107,21
15,0.49937567982050524,0.45736319111529916,0.7341950077117453,0.3702378421919863,0.22137060576248982,0.3253317148595186,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.969467715260359,0.633447551362852,0.12258358087622159,1.0,0.3705764796202839,V,-0.010262250517981908,0.06804842961804314,21
16,0.4723604998040026,0.48441080675296805,0.7273865547068155,0.37953232545575155,1.0,0.7740845533879103,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9283119641164264,0.19573021983445088,0.7677272239236315,0.0,0.3705764796202839,V,-0.024962992920130933,0.08189086411610447,21
17,0.4396705953741782,0.5175542532100379,0.7064080389211337,0.4017370458721621,0.337662882233246,0.6564734711151378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9137216084709149,0.30603663437539386,0.5677517651810616,0.0,0.3705764796202839,V,-0.02129966416192164,0.0784414200680974,21
18,0.40478531990492145,0.5533656453912,0.6780704530087324,0.4304129905341152,0.39729391122985325,0.6023132498558916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9605019320054611,0.35942862783253265,0.4709569556570103,0.0,0.3705764796202839,V,-0.019516585859787328,0.07676244740624061,21
19,0.3850972072882012,0.5738259439352831,0.6829084221081265,0.429403549033138,0.7884914466970656,0.8904655619640633,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9540704995775883,0.06760861288548074,1.0,0.0,0.3705764796202839,V,-0.02918369625981798,0.08586514023884129,21
20,0.34544075730928614,0.6155403395211371,0.6368049324187015,0.4746308408569848,0.03403274866602324,0.4778917839646675,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9810556567266594,0.4733082335688132,0.2645036275046128,0.0,0.3705764796202839,V,-0.015691672023604997,0.07316085248064397,21
21,0.3021775066630198,0.6615970019428024,0.5759078440066556,0.5324481916127504,0.33966526761045795,0.38933570678378987,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.997422079704683,0.5053400454051881,0.08386463451421258,0.0,0.0,V,-0.012320452132767001,0.069986462423264,21
22,0.26310860363188204,0.7036836339085447,0.5257297360187886,0.5775517961094101,0.530526508193673,0.4642284336469278,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.990413543545178,0.4448439725312638,0.19353849142845914,0.0,0.0,V,-0.014370015928906077,0.071916361731853,21
23,0.23001648236768385,0.7397512208602615,0.4919904264095284,0.6063541512321482,0.5842490972358534,0.5814169014312381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9913763867685271,0.33807972700480443,0.38709232114280817,0.0,0.0,V,-0.01796643559604938,0.07530280319910121,21
24,0.20227084401904188,0.7703432301788284,0.4721639795158657,0.6227849032753305,0.575904755345165,0.6888351785048682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9860488948143694,0.23487739188064694,0.5741887324951828,0.0,0.0,V,-0.021418010988285996,0.07855285717427796,21
25,0.1612832146317417,0.8160551542747837,0.40574400720900633,0.6787069207354709,0.10335070260903843,0.37217883268124247,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9652807555611296,0.5515997574629464,0.0,0.0,0.0,V,-0.010747445852777981,0.0791690234547342,21
26,0.10598542956281834,0.8784274561149119,0.2708769020302833,0.7935902347656494,0.0,0.015495660221884167,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8704406620567756,0.9217084761058668,0.619344646171313,0.0,0.0,V,0.0020203916309575742,0.09008345222648928,21
27,0.054024869707760284,0.9376941034608511,0.14478917561748242,0.8923795165976439,0.49208493809177506,0.07534036871143658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7521887969388481,0.896786384082801,0.5741631686853663,0.0,0.0,V,0.0011503007291981948,0.09087356599681828,21
28,0.0,1.0,0.0,1.0,0.3129120629167359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6634243492388063,1.0,0.7612800310856046,0.0,0.0,V,0.004763604386917475,0.087592390466111,21
29,0.0,1.0,0.6392736100720896,0.0014736281822470229,0.3260780818654973,0.01370684799472738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0384761526297678,0.058808489646042426,0.0,0.004220954937141125,JPM,0.1918857366543305,0.030000000000000027,21
30,0.0013763080335144682,0.9990030104917937,0.6606319092777391,0.0006861712381630807,0.8624089933496121,0.1971026909456045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.005705465643949775,0.149360872310821,0.13948032296396845,0.0,0.004220954937141125,JPM,0.16169578126937,0.030000000000000027,21
31,0.002815739087739188,0.997954689038655,0.6815229316467891,0.0,0.4699964768599948,0.20108622795039302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01303508657571851,0.15720687846292392,0.14518851884825693,0.0,0.004220954937141125,JPM,0.16447078160261763,0.030000000000000027,21
32,0.008086535006186838,0.9940955000301777,0.6786991358959263,0.010526135596408472,1.0,0.4750036444876711,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02183317980214912,0.32562658166770164,0.267718712940563,0.0,0.004220954937141125,JPM,0.12718625087299196,0.030000000000000027,21
33,0.017247404326945034,0.9873523861984301,0.609311784219432,0.04472982256115683,0.9425420306432071,0.759414651444455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03847378223723684,0.49774806640621083,0.397098472306599,0.07984601740568784,0.028546262474348723,JPM,0.08186913656498795,0.030000000000000027,21
34,0.02609311971434734,0.9808067997703105,0.5540475997206579,0.07528835820935749,0.448934050055561,0.7435635145294969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05758226287833917,0.49984045832247187,0.3986207478048815,0.07984601740568784,0.028546262474348723,JPM,0.08130479579447125,0.030000000000000027,21
35,0.03794375705397143,0.9719915002307296,0.43519262520307816,0.1287680328927898,0.8000903854491208,0.9702324200648142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07856044894215511,0.950590765322543,0.7363775630833398,0.16814939241602112,0.0,JPM,0.042953984300077463,0.05574167911683803,21
36,0.04917324166888442,0.9635945215191881,0.3469788502712015,0.1739368316179829,0.42685850610295056,0.9352138792185588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1018459341390092,0.9427445274035027,0.7306691985819163,0.16814939241602112,0.0,JPM,0.04492544197063553,0.05395678223958733,21
37,0.05769198561043606,0.9571913538770762,0.32039498289792945,0.19823207462828998,0.22035631065013025,0.7452572873335561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12180971258148343,0.10404719119475743,0.6560851183200368,0.16814939241602112,0.13147561501822397,JPM,0.07777787650167345,0.029999999999999916,21
38,0.06658541875526557,0.9504719124347091,0.29093986855305143,0.22437352151641463,0.520011439090202,0.77634970513252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13943339645523176,0.0716178976959693,0.7697796059008807,0.43110915064149297,0.25539711629726375,JPM,0.06921295683123563,0.03385393804422121,21
39,0.07477287424403378,0.9442539862468361,0.27494765777783176,0.24583828613158631,0.40670936113565176,0.7288712335461597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15719193069697346,0.66734491388909,0.7579838255776815,0.43110915064149297,0.038574935497599785,JPM,0.07347802673522597,0.029999999999999916,21
40,0.08301542571936604,0.9379621162827969,0.26013655186542756,0.26733346660909213,0.48512286379290276,0.7357853359010172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17381623165847648,0.6851279275079274,0.7709214811417275,0.43110915064149297,0.038574935497599785,JPM,0.07538898855685572,0.029999999999999916,21
41,0.09146523336565715,0.9314791308194407,0.24442188446036733,0.28973512568061704,0.501353413890071,0.7536300946510157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1917368814970401,0.7102343128336784,0.7891871009497622,0.43110915064149297,0.038574935497599785,JPM,0.0715330718257372,0.032594020459796424,21
42,0.09994521986112655,0.9249399650064363,0.2302258741687915,0.31201788596837854,0.48267631250138276,0.7585970436869711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21076329545526495,0.7274939967065132,0.8017440190221026,0.43110915064149297,0.038574935497599785,JPM,0.06877151309367568,0.03664208401987856,21
43,0.10805641368542562,0.9186535962246041,0.2222788096301129,0.3319869866203334,0.44038611187564314,0.7343905230070894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23087916943046335,0.7259240074685038,0.8006018065469849,0.43110915064149297,0.038574935497599785,JPM,0.07114703816096868,0.03627526199740061,21
44,0.11528906580170818,0.9130199500011552,0.22486405690869968,0.34729063562007906,0.3845711363741058,0.672734893310943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2510535602233904,0.6992499505741226,0.7811956604351858,0.43110915064149297,0.038574935497599785,JPM,0.07911279746298883,0.030000000000000027,21
45,0.12287016721905805,0.9070853648868429,0.22440538087417186,0.36426179510056284,0.5149865670650741,0.6992878591553333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2715985134889744,0.7306316575131526,0.8040267578009846,0.43110915064149297,0.038574935497599785,JPM,0.07090892532632953,0.029999999999999916,21
46,0.13147698206178549,0.9003143178840767,0.21337189028339187,0.3866374139191983,0.5887428065403028,0.7752156502759916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2926567696937195,0.79601264718898,0.8515933144596531,0.43110915064149297,0.038574935497599785,JPM,0.05421130291095655,0.030000000000000027,21
47,0.14145811625690813,0.8924232108971853,0.18639490282762405,0.41709861857060815,0.6233233242201267,0.8773558610969565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3150214760991444,0.8807461761877792,0.9132394019232153,0.43110915064149297,0.038574935497599785,JPM,0.033330596319116834,0.03225341002607529,21
48,0.15086572982882673,0.884948891776702,0.16981079431676058,0.44344055676571154,0.42396590357858577,0.8388703789694081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33940575967461617,0.8708080098863533,0.9060090991577798,0.6262078125775614,0.06189427359191298,JPM,0.036925358902080374,0.029999999999999916,21
