,m,b,r,sd,perChange,bottomLinePerDistance,bottomLineXUp,bottomLineXDown,safetyLineXUp,safetyLineXDown,topLineXUp,topLineXDown,midLineXUp,midLineXDown,smaDist,lastHigh,lastLow,averageDown,averageUp,Ticker,TP%,SL%,days,profit,success
364,0.15964140950047806,0.09903690522595485,0.9262385371715015,0.12329386554881273,0.3743644026818678,0.5254178870414873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9421039676721479,0.296795117182807,0.592358818059527,0.07702836308641403,0.0690625436263638,MA,0.021903442979916726,0.0386774690258662,1,2.0477294921875,True
365,0.15760528880479677,0.09974591803540811,0.9314275467554842,0.12111903466973141,0.4119033665651901,0.6329172944825718,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9346518041287998,0.17386900349691922,0.2554542389580147,0.10179333689022045,0.0690625436263638,MA,0.02350294437594107,0.04650856595540756,14,-4.7039337158203125,False
366,0.1576692004242898,0.09972361231271201,0.938597139254317,0.11832685158391354,0.36331900814553636,0.7120133679531683,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9316576692478485,0.0809535326030641,0.37597636006813534,0.10179333689022045,0.0690625436263638,MA,0.012264244757151797,0.03888057370770798,11,-5.027992248535142,False
367,0.15669272786586144,0.10006518268969357,0.9448552783327401,0.1156899113397343,0.2198486903142299,0.6716280577857638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9279108617654309,0.12192859850105876,0.32282695656035115,0.10179333689022045,0.0690625436263638,MA,0.01018447574751983,0.04189372703657704,10,-4.3454208374023295,False
368,0.15159228991340679,0.10185335383103511,0.944897021835883,0.11693893703980085,0.07729660579245469,0.5136828136421837,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9147435943631826,0.21311284469397343,0.09525452512125483,0.10179333689022045,0.0,MA,0.013857484028672146,0.044790480437913976,3,2.3457794189453125,True
369,0.5431789942181802,0.9229543328557996,0.9736330349062632,0.32469428970870273,0.29921134152065776,0.5373234968475797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8782481129448438,0.1879578789119381,0.16872571783650694,0.30264694826792404,0.3527488282151113,MA,0.021151212281082025,0.060039701250490796,5,2.5764846801757812,True
370,0.5386507930911021,0.9244988789209703,0.9758887871164369,0.32429558775287176,0.2859174068479557,0.5539753021833892,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8652174866273613,0.15608154819832057,0.21007300859287273,0.30264694826792404,0.3527488282151113,MA,0.01457481712806865,0.06001737593994809,4,2.0958175659179688,True
371,0.5359187167566193,0.9254329382513581,0.9805050816136992,0.3221985401765777,0.3185671330434566,0.5951509764494216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8551026901411567,0.08021171201059504,0.30848496838445566,0.30264694826792404,0.3527488282151113,MA,0.013162204164856982,0.0589142059492708,9,-6.639610290527344,False
372,0.5329029460315492,0.9264663754839169,0.9847442871442633,0.3203360685499184,0.2550447541602602,0.5880676055366293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.845888373431564,0.08913882510400606,0.296905469351007,0.30264694826792404,0.3527488282151113,MA,0.010127778625912184,0.057597235060267864,2,1.0863800048828125,True
373,0.5297314437626434,0.9275556883738709,0.9887520175247073,0.31862149096394415,0.2587072237706435,0.5839497655922665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470318147211783,0.09296436931729508,0.2919432956833639,0.30264694826792404,0.3527488282151113,MA,0.010727456342409056,0.05760424225995711,1,1.1440658569335938,True
374,0.528313705390287,0.9280437596369829,0.9945947018278495,0.3158364159906285,0.3165432154837644,0.6244947519228162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8566844896240848,0.01709352121468742,0.26962040517533253,0.2495746034190708,0.3527488282151113,MA,0.01065686241390894,0.058798063768550374,5,-5.944114685058594,False
375,0.5255208117704204,0.929007452782472,0.9989763010205861,0.31385388439877804,0.223753767004429,0.5917980223813456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8605951066202158,0.07128662274694834,0.1993256794060832,0.2495746034190708,0.3527488282151113,MA,0.009645465934902302,0.057531470352444436,5,-6.774192810058608,False
376,0.520380435829824,0.9307852171858371,1.0,0.31444799181763766,0.19244746855378106,0.5361371927317891,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8604184501005232,0.16755716892330547,0.07445163729032928,0.2495746034190708,0.3527488282151113,MA,0.017375348849650557,0.06363638678478856,5,-7.008270263671875,False
377,0.511370729779087,0.9339082936630155,0.9929936153109973,0.3226321833062071,0.13832157285312954,0.44433681442531403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8470893348869852,0.30973272778681216,0.10835533940253979,0.2495746034190708,0.22611034005049474,MA,0.021664810426821755,0.05632118986611306,7,-5.231079101562514,False
378,0.5026505567131391,0.9369379091439843,0.9866210765136673,0.33014558787886855,0.27108793061157027,0.45058533561207753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8304667185741681,0.29825609514694507,0.09346881839961069,0.2495746034190708,0.22611034005049474,MA,0.029964219155384317,0.058749193829316454,6,-5.404136657714844,False
379,0.49178076965529804,0.9407229589577699,0.9744385524538399,0.3435461376033518,0.18448379355333505,0.3987925601072484,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8084625972027288,0.39088779540583307,0.21362285614852147,0.2495746034190708,0.22611034005049474,MA,0.035715910434989374,0.06055520007967259,8,-6.8683624267578125,False
380,0.4784139835293767,0.9453880860039613,0.954180959465969,0.36536368374519507,0.16492279705568566,0.338294580068806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7803862748527409,0.5001290665460679,0.35532142995898497,0.2495746034190708,0.22611034005049474,MA,0.028124796398236628,0.051570496660502466,7,-5.221099853515625,False
381,0.46253659532293256,0.9509420008870321,0.9242955531568223,0.3972710244543698,0.1546836908025479,0.27689479718909477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7487294560701016,0.6119228929774082,0.5003309634511396,0.300354619562997,0.24927454476588956,MA,0.029823760922145136,0.04892732120526757,7,-4.585365295410156,False
