,m,b,r,sd,perChange,bottomLinePerDistance,bottomLineXUp,bottomLineXDown,safetyLineXUp,safetyLineXDown,topLineXUp,topLineXDown,midLineXUp,midLineXDown,smaDist,lastHigh,lastLow,averageDown,averageUp,Ticker,TP%,SL%,days,success
348,0.0229702337573237,0.22122812175310957,0.3330505316325664,0.4299099000948425,0.451744100147882,0.645515740553257,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01126764610774099,0.06241156246960785,0.44110281434905835,0.18841089421156457,0.0938057981030464,MA,0.03613707146994338,0.034215975701808676,21,True
349,0.019281979700857318,0.22242778826910234,0.33848970486495356,0.4280322632218727,0.2313926582086652,0.6177783398321064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03709922242290731,0.03835452164836832,0.409898047699156,0.18841089421156457,0.0938057981030464,MA,0.04066016214773205,0.030000000000000027,21,True
350,0.017772576563519906,0.22291994151205718,0.34755842471916937,0.4249247852635672,0.36834332732746383,0.7000068402812821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06989098691255813,0.12181741035931035,0.5181590755414626,0.18841089421156457,0.0938057981030464,MA,0.02513449975074189,0.03152864725835669,21,True
351,0.01726242867740878,0.2230866831371325,0.3578633638689923,0.42160620957290984,0.30943845105757956,0.7371482312655053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086578118916286,0.16237410614845516,0.5707658045899496,0.18841089421156457,0.0938057981030464,MA,0.018768348001690915,0.03849908518154699,21,True
352,0.016584365578894953,0.22330884440117693,0.367888396197554,0.4183223626407408,0.2581244275473038,0.7296224832993481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09464472394059682,0.15943315331514546,0.566951048337353,0.18841089421156457,0.0938057981030464,MA,0.02749994575225223,0.03799700254276994,21,True
353,0.017084985035223498,0.22314442475559185,0.3791032482510823,0.4150271735743035,0.3165778190763679,0.7736791481186339,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.10451272703666696,0.20763166199375999,0.6294700932758137,0.18841089421156457,0.0938057981030464,MA,0.018781240748868777,0.04615994248439659,21,True
354,0.01639076336029414,0.22337297905031486,0.3889518301574166,0.411770581407579,0.2157213205304656,0.7267634438677129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12108193844241975,0.16589905151900636,0.5753380667629677,0.18841089421156457,0.0938057981030464,MA,0.026321662236964194,0.03910017756311668,21,True
355,0.014233919765863946,0.22408477021797996,0.39668898109091527,0.4090071518251194,0.20134942696961267,0.6695847400797201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1479556306908922,0.11300108212737395,0.5067232772971652,0.18841089421156457,0.0938057981030464,MA,0.03604141568591723,0.030000000000000138,21,True
356,0.01525396465589869,0.22374733263382995,0.4081094543420424,0.4058393744373936,0.4107318750619852,0.7906369166660155,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1728357724623094,0.23819518196993045,0.6691145165422864,0.18841089421156457,0.0938057981030464,MA,0.013328807786988639,0.03559075001415102,21,False
357,0.016891422193796225,0.2232043549801052,0.41987101821009926,0.40287654944014706,0.29162942914488127,0.8132231546489872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197444120353248,0.2664087383657315,0.7057107650267443,0.18841089421156457,0.0938057981030464,MA,0.008347149507358376,0.04033191328536634,21,True
358,0.018561578207385847,0.22264921280998481,0.4315537705744299,0.39994037975262453,0.26761400720142475,0.8133217552283935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22773001749519556,0.27228458021207425,0.7133324120551261,0.18841089421156457,0.0938057981030464,MA,0.00731581046448504,0.04131346330661834,21,True
359,0.020008682727288046,0.22216706535063316,0.4429979202069428,0.3969352529764863,0.25720217468575796,0.8036028855662984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24822848151685098,0.26817097782714905,0.7079965935949128,0.18841089421156457,0.0938057981030464,MA,0.008037616212031695,0.04062650352191899,21,True
360,0.019743347237836134,0.22225568003192347,0.4528688115650298,0.3937002372623218,0.1958934190343659,0.7366534587960212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2780831430943128,0.20528029907025439,0.6264201033837716,0.18841089421156457,0.0938057981030464,MA,0.019203148007758797,0.030000000000000027,21,True
361,0.02149890798633749,0.22166798216245198,0.4643198101058493,0.39084159613764335,0.35317162671214264,0.8133743525168039,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.31081224349260855,0.28874365422890846,0.734681736262754,0.18841089421156457,0.0938057981030464,MA,0.004438081722821563,0.04147920350779666,21,True
362,0.025755340055745812,0.2202397150044249,0.47627850941618305,0.38983256308744746,0.3681962842854166,0.9084588423175923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3433770386730744,0.3927787528938978,0.8696273017362259,0.18841089421156457,0.0938057981030464,MA,-0.01337789072245088,0.058480729444801094,21,False
363,0.02962364413071683,0.2189386247554105,0.48812712996070945,0.3884609498279915,0.2525651193539997,0.8922866737188276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38022437879535903,0.38337236830444227,0.8574261320946942,0.18841089421156457,0.0938057981030464,MA,-0.01179308109577204,0.05696836844087827,21,False
364,0.03158654874236336,0.21827685535606148,0.49938739376314856,0.3857353784057265,0.19418583022067246,0.8178628922218001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40903114072949315,0.31284267534435917,0.7659409562136459,0.18841089421156457,0.0938057981030464,MA,0.00025411180716328197,0.04547190574502913,21,False
365,0.03585162266397713,0.21683556219969852,0.5109834229862946,0.38481534474243956,0.3596836397613098,0.9052260587135553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43732468462363105,0.4104114093577736,0.8924988982248245,0.18841089421156457,0.0938057981030464,MA,-0.01633502763215955,0.06130268261205729,21,False
366,0.040691570878925394,0.21519617186342316,0.5223540098576417,0.384578879720076,0.28896858003673137,0.9260918549337128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4676587097333134,0.4398004139914724,0.930619839136967,0.18841089421156457,0.0938057981030464,MA,-0.0212245987334585,0.06596872989939584,21,False
