,m,b,r,sd,perChange,bottomLinePerDistance,bottomLineXUp,bottomLineXDown,safetyLineXUp,safetyLineXDown,topLineXUp,topLineXDown,midLineXUp,midLineXDown,smaDist,lastHigh,lastLow,averageDown,averageUp,Ticker,TP%,SL%,days,profit,success
218,0.60598538120582,0.8611993354587699,0.7430921890459725,0.06087246222945042,0.49557520651281006,0.12720823930327987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03243539443926716,0.0010411304507039526,0.025959896360657264,0.06816628623129503,0.1512006559866074,MS,0.03543622173050061,0.03576775622467434,6,1.0991287231445312,True
219,0.5939503473932267,0.865075767292883,0.7562698293330189,0.05999556464352635,0.5109008473849388,0.20412899614248767,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03353080234425965,0.03281328660507335,0.05280018530679231,0.06816628623129503,0.1512006559866074,MS,0.03501185431167024,0.03900484629552202,13,1.102294921875,True
220,0.580775638681099,0.8693675052095278,0.7662264651044691,0.05957059001792166,0.27724869342202885,0.19169650857727366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036170656436392286,0.031250787410476544,0.051480226734974883,0.06816628623129503,0.1512006559866074,MS,0.023459425933790853,0.03346586528415061,5,0.9715347290039027,True
221,0.5751740488093521,0.8712127584731874,0.7891992601387537,0.05742422656798624,0.4717073229284877,0.25460610433750497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934072833660464,0.059376461643397285,0.07524006284898195,0.06816628623129503,0.1512006559866074,MS,0.0371959095191346,0.03889494142132642,13,2.854938507080078,True
222,0.5676613160174863,0.8737150707073026,0.8083759762897726,0.055666799858725274,0.26820344330409274,0.23547383659726906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0429240080190167,0.056251463254203375,0.07260014570534686,0.06816628623129503,0.1512006559866074,MS,0.02435595917548421,0.03457735661500177,10,0.7128410339355469,True
223,0.5588393999901277,0.8766857304538749,0.8245420912259366,0.054268891091640147,0.27776022272663786,0.22144471053597203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04857644008334842,0.0546887344828808,0.07127999319309855,0.06816628623129503,0.1512006559866074,MS,0.024937828831027523,0.03431656916000026,9,0.7388076782226562,True
224,0.5526481677033674,0.8787932043865059,0.8443154534567568,0.052377045732400485,0.3652096905774979,0.24274890642184474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053517911920775985,0.06718907240474407,0.08183995267828441,0.06816628623129503,0.1512006559866074,MS,0.031126370352340157,0.03656027592853197,10,2.7251224517822266,True
225,0.5515510661883269,0.8791706695121208,0.8695844981721975,0.04998879374890212,0.42393309958049524,0.2870020566432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05778475276402898,0.08971984704584536,0.10087336352422242,0.06816628623129503,0.1512006559866074,MS,0.036012306510343706,0.03902445488314552,9,2.3507461547851562,True
226,0.5451697602484346,0.881389557281789,0.8874957414549854,0.048247431054012684,0.1965235876156278,0.23629611031802397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06526928441777795,0.07400095821909634,0.08759445616986282,0.06816628623129503,0.1512006559866074,MS,0.02098242559220447,0.03339290351392165,8,2.6119346618652344,True
227,0.5386161620831662,0.8836923412994337,0.904461281387673,0.04659691009475013,0.3030927064281325,0.23252669079302926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07141060028153991,0.07662031387010336,0.08980721951472796,0.06816628623129503,0.1512006559866074,MS,0.02784720642264495,0.03524680293459576,7,2.568410873413086,True
228,0.5285022706945526,0.8872831493011364,0.9145480765358537,0.04598018310397434,0.22208896717948087,0.19676300692789067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07772690192570142,0.06561739014112233,0.08051223648923624,0.06816628623129503,0.1512006559866074,MS,0.022239738388118765,0.03267297873130069,6,2.7512378692626953,True
229,0.5121611768945369,0.893144657315332,0.9094029181247555,0.048234113282002396,0.14732942200515386,0.13490120603822975,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08306530748232303,0.04403178287941533,0.061036253580282085,0.06816628623129503,0.12645089836071735,MS,0.017901921364577723,0.03557025758691609,3,0.9402961730957031,True
230,0.4942519639589502,0.8996341965020964,0.8990320848645148,0.051542775819137784,0.2506339972630552,0.1171791789459894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08576646754343431,0.049795421364568326,0.056167282095597494,0.06816628623129503,0.12645089836071735,MS,0.023666559681370037,0.03097205791332602,2,1.0360660552978516,True
231,0.47590369610961514,0.9063499884878812,0.8865141643377639,0.05526484196626633,0.2772780819903192,0.11031341890905338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0890105943481557,0.051367447993278574,0.054839274995903096,0.06816628623129503,0.12645089836071735,MS,0.025413811549434482,0.031121750870849767,1,1.0621871948242188,True
232,0.472320736206268,0.9076745297327496,0.9061823601079366,0.0532430683410618,0.7024943425754755,0.2565432383802372,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09319995377312038,0.006306587441253594,0.02320186949468329,0.0,0.12645089836071735,MS,0.04807784439003265,0.04315245706869694,2,2.1940231323242188,True
233,0.4690819410124614,0.9088836954417131,0.925624162426714,0.051216434102508396,0.31719501725350346,0.2581638725575041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10142321272613619,0.0115461022618071,0.02762807497592109,0.0,0.12645089836071735,MS,0.02726219907537949,0.03546579760432466,1,2.106962203979492,True
234,0.4932285344120525,0.8997804708342653,0.9297616442141718,0.06027301430719155,1.0,0.5401828575484858,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.10585338500108993,0.13834764118389228,0.1347467082517843,0.0,0.12645089836071735,MS,0.048544113873256696,0.04840709700174031,2,1.7151641845703125,True
235,0.5321848037514522,0.8849514367414075,0.8884089751688474,0.08706772618825921,0.6417407840736363,0.6977006181985168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12067293741413068,0.2169425444710892,0.20114163290444434,0.0,0.12645089836071735,MS,0.05639065901347181,0.055865593750657624,6,2.098247528076172,True
